"fecha";"Run Fondo";"serie fondo";"intervalo_de_tiempo";"rentabilidad_acumulada"
2023-03-31;"8976";APV-AP;"3M";0.026497755559092617
2023-03-31;"8976";APV-AP;"6M";0.05417047841461686
2023-03-31;"8976";APV-AP;"1Y";0.09837516228001308
2023-03-31;"8976";APV-AP;YTD;0.02679753453568723
2023-04-01;"8976";APV-AP;"1M";0.008999598654545693
2023-04-01;"8976";APV-AP;"3M";0.0264951793507211
2023-04-01;"8976";APV-AP;"6M";0.054181988700867656
2023-04-01;"8976";APV-AP;"1Y";0.09852841502721565
2023-04-01;"8976";APV-AP;YTD;0.02709492517267864
2023-04-02;"8976";APV-AP;"1M";0.009002980187554854
2023-04-02;"8976";APV-AP;"3M";0.02649546899352373
2023-04-02;"8976";APV-AP;"6M";0.054196242526865834
2023-04-02;"8976";APV-AP;"1Y";0.09868438380114508
2023-04-02;"8976";APV-AP;YTD;0.027394898606765583
2023-04-03;"8976";APV-AP;"1M";0.00900336948247804
2023-04-03;"8976";APV-AP;"3M";0.02649271312647028
2023-04-03;"8976";APV-AP;"6M";0.054207555112764094
2023-04-03;"8976";APV-AP;"1Y";0.0988335634987223
2023-04-03;"8976";APV-AP;YTD;0.02769201251549691
2023-04-04;"8976";APV-AP;"1M";0.009003033424161977
2023-04-04;"8976";APV-AP;"3M";0.02648931410960853
2023-04-04;"8976";APV-AP;"6M";0.05421630445147119
2023-04-04;"8976";APV-AP;"1Y";0.09897366241719818
2023-04-04;"8976";APV-AP;YTD;0.027988480724954412
2023-04-05;"8976";APV-AP;"1M";0.00900269674498877
2023-04-05;"8976";APV-AP;"3M";0.026485914636341867
2023-04-05;"8976";APV-AP;"6M";0.054225043762134995
2023-04-05;"8976";APV-AP;"1Y";0.09911305626492983
2023-04-05;"8976";APV-AP;YTD;0.02828504117716535
2023-04-06;"8976";APV-AP;"1M";0.009002632535489052
2023-04-06;"8976";APV-AP;"3M";0.026482512270173286
2023-04-06;"8976";APV-AP;"6M";0.054232173195338795
2023-04-06;"8976";APV-AP;"1Y";0.09925151858151549
2023-04-06;"8976";APV-AP;YTD;0.028581786114882934
2023-04-07;"8976";APV-AP;"1M";0.009000467409896906
2023-04-07;"8976";APV-AP;"3M";0.02647901255109386
2023-04-07;"8976";APV-AP;"6M";0.05423928835939584
2023-04-07;"8976";APV-AP;"1Y";0.09938926613273136
2023-04-07;"8976";APV-AP;YTD;0.02887871553810739
2023-04-08;"8976";APV-AP;"1M";0.009000674370058137
2023-04-08;"8976";APV-AP;"3M";0.02647588774986831
2023-04-08;"8976";APV-AP;"6M";0.05424638926233394
2023-04-08;"8976";APV-AP;"1Y";0.09952705743713097
2023-04-08;"8976";APV-AP;YTD;0.02917582944683872
2023-04-09;"8976";APV-AP;"1M";0.009004136727916334
2023-04-09;"8976";APV-AP;"3M";0.026475889449919743
2023-04-09;"8976";APV-AP;"6M";0.054256593195141756
2023-04-09;"8976";APV-AP;"1Y";0.09966825234341337
2023-04-09;"8976";APV-AP;YTD;0.029476171851939403
2023-04-10;"8976";APV-AP;"1M";0.009004431265493551
2023-04-10;"8976";APV-AP;"3M";0.026472948841829602
2023-04-10;"8976";APV-AP;"6M";0.054263968527714423
2023-04-10;"8976";APV-AP;"1Y";0.09980624861277199
2023-04-10;"8976";APV-AP;YTD;0.029773562488930816
2023-04-11;"8976";APV-AP;"1M";0.009004633649646099
2023-04-11;"8976";APV-AP;"3M";0.026469913161999203
2023-04-11;"8976";APV-AP;"6M";0.05427143411463842
2023-04-11;"8976";APV-AP;"1Y";0.0999442983089045
2023-04-11;"8976";APV-AP;YTD;0.030071045368675664
2023-04-12;"8976";APV-AP;"1M";0.009005288381413346
2023-04-12;"8976";APV-AP;"3M";0.02646715250122922
2023-04-12;"8976";APV-AP;"6M";0.0542791735232202
2023-04-12;"8976";APV-AP;"1Y";0.10008258851674934
2023-04-12;"8976";APV-AP;YTD;0.030368897219434254
2023-04-13;"8976";APV-AP;"1M";0.009005941922334504
2023-04-13;"8976";APV-AP;"3M";0.02646439101970466
2023-04-13;"8976";APV-AP;"6M";0.05428690344978504
2023-04-13;"8976";APV-AP;"1Y";0.100221040346953
2023-04-13;"8976";APV-AP;YTD;0.03066684131294628
2023-04-14;"8976";APV-AP;"1M";0.009006321812826457
2023-04-14;"8976";APV-AP;"3M";0.026461348338980173
2023-04-14;"8976";APV-AP;"6M";0.054294430118321246
2023-04-14;"8976";APV-AP;"1Y";0.10035923031302119
2023-04-14;"8976";APV-AP;YTD;0.030964785406458306
2023-04-15;"8976";APV-AP;"1M";0.009006881175268378
2023-04-15;"8976";APV-AP;"3M";0.026458771358006228
2023-04-15;"8976";APV-AP;"6M";0.054302036606925785
2023-04-15;"8976";APV-AP;"1Y";0.10049767042441071
2023-04-15;"8976";APV-AP;YTD;0.03126300622823042
2023-04-16;"8976";APV-AP;"1M";0.009005255291155256
